topic,primary_count,secondary_count,total_count,primary_ratio,frequency
Climate Challenges,7,1,8,0.875,8
Economic Disparities,1,1,2,0.5,2
Election Violence,39,2,41,0.9512195121951219,41
Humanitarian Response,0,5,5,0.0,5
Insurgency Crisis,3,2,5,0.6,5
Social Media Restrictions,1,7,8,0.125,8
