topic,primary_count,secondary_count,total_count,primary_ratio,frequency
Climate Change,1,1,2,0.5,2
Conflict Dynamics,52,38,90,0.5777777777777777,90
Displacement Issues,16,62,78,0.20512820512820512,78
Food Insecurity,1,39,40,0.025,40
Gender-Based Violence,5,32,37,0.13513513513513514,37
Health Crisis,7,18,25,0.28,25
Humanitarian Crisis,26,60,86,0.3023255813953488,86
International Response,1,8,9,0.1111111111111111,9
