topic,primary_count,secondary_count,total_count,primary_ratio,frequency
Armed Groups,86,95,181,0.47513812154696133,181
Humanitarian Crisis,76,88,164,0.4634146341463415,164
Media Freedom,3,3,6,0.5,6
Mineral Wealth,6,44,50,0.12,50
Political Landscape,20,19,39,0.5128205128205128,39
Regional Conflict,41,100,141,0.2907801418439716,141
